"variable","value","value_prop"
"less than $200,000",3667,29.88
"$200,000 to $299,999",3534,28.8
"$300,000 to $399,999",3247,26.46
"$400,000 to $499,999",993,8.09
"$500,000 to $749,999",650,5.3
"$750,000 or more",181,1.47
