"variable","value","value_prop"
"No cash rent",2933,2.5
"Less than $1,000",14497,12.37
"$1,000 to $1,499",55451,47.32
"$1,500 to $1,999",29213,24.93
"$2,000 to $2,499",11428,9.75
"$2,500 or more",3659,3.12
