"variable","value","value_prop"
"No cash rent",777,1.99
"Less than $1,000",3379,8.64
"$1,000 to $1,499",11057,28.29
"$1,500 to $1,999",14516,37.14
"$2,000 to $2,499",5446,13.93
"$2,500 or more",3912,10.01
