"variable","value_metro","value_prop"
"less than $40,000",415386,19.27
"$40,000 to $74,999",447876,20.77
"$75,000 to $99,999",277575,12.87
"$100,000 to $149,999",434358,20.15
"$150,000 to $199,999",252956,11.73
"$200,000 or more",327816,15.21
