"variable","value","value_prop"
"less than $200,000",566,15.11
"$200,000 to $299,999",791,21.12
"$300,000 to $399,999",1251,33.4
"$400,000 to $499,999",567,15.14
"$500,000 to $749,999",414,11.05
"$750,000 or more",157,4.19
