"variable","value","value_prop"
"No cash rent",125,5.87
"Less than $1,000",83,3.9
"$1,000 to $1,499",635,29.81
"$1,500 to $1,999",517,24.27
"$2,000 to $2,499",419,19.67
"$2,500 or more",351,16.48
