"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Fairfax city","600","2000 to 2009",929,10.51
51,"Fairfax city","600","1990 to 1999",901,10.19
51,"Fairfax city","600","1980 to 1989",668,7.55
51,"Fairfax city","600","1970 to 1979",1114,12.6
51,"Fairfax city","600","2010 to 2017",153,1.73
51,"Fairfax city","600","before 1949",508,5.74
51,"Fairfax city","600","1950 to 1969",4570,51.68
