"STATE_FIPS","county_name","county_code","variable","value","value_prop"
11,"District of Columbia","001","1",104122,37.67
11,"District of Columbia","001","2 to 4",27550,9.97
11,"District of Columbia","001","5 to 19",48596,17.58
11,"District of Columbia","001","20 to 49",22730,8.22
11,"District of Columbia","001","50 or more",73425,26.56
