"variable","value","value_prop"
"before 1949",508,5.74
"1950 to 1969",4570,51.68
"1970 to 1979",1114,12.6
"1980 to 1989",668,7.55
"1990 to 1999",901,10.19
"2000 to 2009",929,10.51
"2010 to 2016",153,1.73
