"variable","value","value_prop"
"less than $40,000",83610,30.08
"$40,000 to $74,999",52018,18.71
"$75,000 to $99,999",29781,10.71
"$100,000 to $149,999",44399,15.97
"$150,000 to $199,999",25494,9.17
"$200,000 or more",42683,15.35
