"variable","value","value_prop"
"less than $200,000",6571,42.61
"$200,000 to $299,999",4381,28.41
"$300,000 to $399,999",2646,17.16
"$400,000 to $499,999",957,6.21
"$500,000 to $749,999",668,4.33
"$750,000 or more",197,1.28
