"variable","value","value_prop"
"less than $40,000",654,12.32
"$40,000 to $74,999",911,17.16
"$75,000 to $99,999",706,13.3
"$100,000 to $149,999",901,16.97
"$150,000 to $199,999",758,14.28
"$200,000 or more",1378,25.96
