"variable","value","value_prop"
"less than $200,000",11858,17.62
"$200,000 to $299,999",19363,28.77
"$300,000 to $399,999",15784,23.45
"$400,000 to $499,999",10869,16.15
"$500,000 to $749,999",7322,10.88
"$750,000 or more",2099,3.12
