"variable","value_metro","value_prop"
"less than $200,000",9943,8.82
"$200,000 to $299,999",14680,13.03
"$300,000 to $399,999",17280,15.34
"$400,000 to $499,999",13830,12.27
"$500,000 to $749,999",24866,22.07
"$750,000 or more",32073,28.47
