"variable","value","value_prop"
"less than $200,000",4266,39.18
"$200,000 to $299,999",3690,33.89
"$300,000 to $399,999",1712,15.73
"$400,000 to $499,999",640,5.88
"$500,000 to $749,999",435,4
"$750,000 or more",144,1.32
