"variable","value","value_prop"
"No cash rent",233,16.74
"Less than $1,000",552,39.66
"$1,000 to $1,499",341,24.5
"$1,500 to $1,999",37,2.66
"$2,000 to $2,499",155,11.14
"$2,500 or more",74,5.32
