"STATE_FIPS","county_name","county_code","variable","value","value_prop"
11,"District of Columbia","001","2000 to 2009",26335,8.59
11,"District of Columbia","001","1990 to 1999",8955,2.92
11,"District of Columbia","001","1980 to 1989",13853,4.52
11,"District of Columbia","001","1970 to 1979",24891,8.12
11,"District of Columbia","001","1960 to 1969",35776,11.66
11,"District of Columbia","001","1950 to 1959",40091,13.07
11,"District of Columbia","001","1940 to 1949",38269,12.48
11,"District of Columbia","001","before 1940",109162,35.59
11,"District of Columbia","001","2010 to 2016",9379,3.06
