"variable","value","value_prop"
"No cash rent",88,11.33
"Less than $1,000",290,37.32
"$1,000 to $1,499",326,41.96
"$1,500 to $1,999",71,9.14
"$2,000 to $2,499",2,0.26
"$2,500 or more",0,0
