"variable","value","value_prop"
"less than $40,000",4566,19.04
"$40,000 to $74,999",4817,20.09
"$75,000 to $99,999",3042,12.69
"$100,000 to $149,999",5208,21.72
"$150,000 to $199,999",3016,12.58
"$200,000 or more",3332,13.89
