"variable","value","value_prop"
"less than $200,000",11222,11.12
"$200,000 to $299,999",25330,25.09
"$300,000 to $399,999",23870,23.65
"$400,000 to $499,999",20288,20.1
"$500,000 to $749,999",17260,17.1
"$750,000 or more",2978,2.95
