"variable","value","value_prop"
"less than $200,000",379,16.1
"$200,000 to $299,999",529,22.47
"$300,000 to $399,999",459,19.5
"$400,000 to $499,999",267,11.34
"$500,000 to $749,999",328,13.93
"$750,000 or more",392,16.65
