"variable","value","value_prop"
"No cash rent",152,5.96
"Less than $1,000",131,5.14
"$1,000 to $1,499",473,18.55
"$1,500 to $1,999",982,38.51
"$2,000 to $2,499",472,18.51
"$2,500 or more",340,13.33
