"variable","value_metro","value_prop"
"less than $40,000",403969,18.62
"$40,000 to $74,999",434214,20.01
"$75,000 to $99,999",275274,12.69
"$100,000 to $149,999",439298,20.24
"$150,000 to $199,999",261476,12.05
"$200,000 or more",355803,16.4
