"variable","value","value_prop"
"No cash rent",620,11.97
"Less than $1,000",1232,23.79
"$1,000 to $1,499",1877,36.25
"$1,500 to $1,999",884,17.07
"$2,000 to $2,499",460,8.88
"$2,500 or more",105,2.03
