"variable","value","value_prop"
"less than $200,000",1436,18
"$200,000 to $299,999",2374,29.75
"$300,000 to $399,999",2579,32.32
"$400,000 to $499,999",1140,14.29
"$500,000 to $749,999",366,4.59
"$750,000 or more",84,1.05
