"variable","value","value_prop"
"less than $40,000",1003,32.03
"$40,000 to $74,999",822,26.25
"$75,000 to $99,999",323,10.32
"$100,000 to $149,999",451,14.4
"$150,000 to $199,999",220,7.03
"$200,000 or more",312,9.96
