"variable","value","value_prop"
"before 1949",4558,3.61
"1950 to 1969",7611,6.03
"1970 to 1979",8785,6.96
"1980 to 1989",14182,11.24
"1990 to 1999",32550,25.8
"2000 to 2009",44217,35.05
"2010 to 2016",14259,11.3
