"variable","value","value_prop"
"No cash rent",944,3.51
"Less than $1,000",2622,9.76
"$1,000 to $1,499",5528,20.58
"$1,500 to $1,999",9103,33.89
"$2,000 to $2,499",5084,18.93
"$2,500 or more",3581,13.33
