"variable","value","value_prop"
"before 1949",1999,10.92
"1950 to 1969",2672,14.6
"1970 to 1979",2211,12.08
"1980 to 1989",3043,16.62
"1990 to 1999",3107,16.97
"2000 to 2009",4677,25.55
"2010 to 2016",598,3.27
