"variable","value","value_prop"
"less than $40,000",20779,14.92
"$40,000 to $74,999",28477,20.44
"$75,000 to $99,999",19643,14.1
"$100,000 to $149,999",31552,22.65
"$150,000 to $199,999",18624,13.37
"$200,000 or more",20231,14.52
