"variable","value_metro","value_prop"
"No cash rent",4888,2.98
"Less than $1,000",48024,29.31
"$1,000 to $1,499",41775,25.49
"$1,500 to $1,999",30021,18.32
"$2,000 to $2,499",19042,11.62
"$2,500 or more",20124,12.28
