"variable","value","value_prop"
"before 1949",1185,2.54
"1950 to 1969",2291,4.92
"1970 to 1979",5179,11.12
"1980 to 1989",9859,21.16
"1990 to 1999",12694,27.24
"2000 to 2009",13258,28.45
"2010 to 2016",2128,4.57
