"variable","value","value_prop"
"No cash rent",32,2.06
"Less than $1,000",41,2.64
"$1,000 to $1,499",535,34.43
"$1,500 to $1,999",684,44.02
"$2,000 to $2,499",220,14.16
"$2,500 or more",42,2.7
