"variable","value","value_prop"
"less than $40,000",10498,19.09
"$40,000 to $74,999",10852,19.74
"$75,000 to $99,999",8052,14.64
"$100,000 to $149,999",12685,23.07
"$150,000 to $199,999",6939,12.62
"$200,000 or more",5962,10.84
