"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Loudoun County","107","1",100700,83.52
51,"Loudoun County","107","2 to 4",1728,1.43
51,"Loudoun County","107","5 to 19",12290,10.19
51,"Loudoun County","107","20 to 49",1933,1.6
51,"Loudoun County","107","50 or more",3913,3.25
