"variable","value_metro","value_prop"
"No cash rent",24098,3.02
"Less than $1,000",125737,15.75
"$1,000 to $1,499",243628,30.52
"$1,500 to $1,999",216742,27.15
"$2,000 to $2,499",109442,13.71
"$2,500 or more",78660,9.85
