"variable","value","value_prop"
"before 1949",3269,14.33
"1950 to 1969",2538,11.13
"1970 to 1979",3320,14.55
"1980 to 1989",3180,13.94
"1990 to 1999",3899,17.09
"2000 to 2009",5882,25.78
"2010 to 2016",725,3.18
