"variable","value","value_prop"
"less than $40,000",51428,13.07
"$40,000 to $74,999",63840,16.23
"$75,000 to $99,999",47567,12.09
"$100,000 to $149,999",84300,21.43
"$150,000 to $199,999",56714,14.42
"$200,000 or more",89531,22.76
