"variable","value","value_prop"
"less than $200,000",8898,7.68
"$200,000 to $299,999",14009,12.1
"$300,000 to $399,999",16971,14.66
"$400,000 to $499,999",14080,12.16
"$500,000 to $749,999",26303,22.72
"$750,000 or more",35534,30.69
