"variable","value","value_prop"
"No cash rent",461,8.56
"Less than $1,000",2520,46.77
"$1,000 to $1,499",1490,27.65
"$1,500 to $1,999",657,12.19
"$2,000 to $2,499",239,4.44
"$2,500 or more",21,0.39
