"variable","value","value_prop"
"less than $200,000",2017,10.73
"$200,000 to $299,999",3936,20.93
"$300,000 to $399,999",4924,26.19
"$400,000 to $499,999",3193,16.98
"$500,000 to $749,999",3192,16.98
"$750,000 or more",1541,8.2
