"variable","value","value_prop"
"before 1949",3127,2.14
"1950 to 1969",15493,10.61
"1970 to 1979",21998,15.07
"1980 to 1989",28749,19.7
"1990 to 1999",27253,18.67
"2000 to 2009",41113,28.17
"2010 to 2016",8228,5.64
