"variable","value","value_prop"
"less than $40,000",4707,14.96
"$40,000 to $74,999",6431,20.44
"$75,000 to $99,999",4550,14.46
"$100,000 to $149,999",7256,23.06
"$150,000 to $199,999",4773,15.17
"$200,000 or more",3745,11.9
