"variable","value","value_prop"
"less than $40,000",17638,19.59
"$40,000 to $74,999",20798,23.1
"$75,000 to $99,999",12187,13.54
"$100,000 to $149,999",19511,21.67
"$150,000 to $199,999",10454,11.61
"$200,000 or more",9434,10.48
