"variable","value","value_prop"
"before 1949",25942,23.24
"1950 to 1969",28992,25.97
"1970 to 1979",11039,9.89
"1980 to 1989",12244,10.97
"1990 to 1999",10529,9.43
"2000 to 2009",17051,15.27
"2010 to 2016",5849,5.24
