"area_type","year","s_lt_18","s_18_to_29","s_gt_59"
"Exurban",1970,0.620198007288932,0.118785141348411,0.0629601086883357
"Exurban",1980,1.5036516951442,0.151342728078132,0.217612052480572
"Exurban",1990,1,0.19907859850208,0.100675530303598
"Exurban",2000,1.18287459276972,0.129118405984862,0.0908135152110221
"Exurban",2009,0.280348950621745,0.14696360701731,0.122089478668068
"Exurban",2013,0.271663027676903,0.146753254042646,0.141201035007269
"Exurban",2017,0.261064785118666,0.14646437407548,0.159913078765823
"Suburban",1970,0.615562074511072,0.121409611988723,0.0432824594503204
"Suburban",1980,1.51286197879065,0.16344943393603,0.228860438626045
"Suburban",1990,1,0.204477226349237,0.113482448537517
"Suburban",2000,1.09468363447076,0.125674181300132,0.0965017913826834
"Suburban",2009,0.249926905004082,0.156909766304603,0.149225157688975
"Suburban",2013,0.238045139250026,0.160055523997728,0.165998618567203
"Suburban",2017,0.232742255711499,0.155045512080533,0.186101736802713
"Urban",1970,0.583392882343849,0.139899106428829,0.0770959944983435
"Urban",1980,1.53419172867162,0.198808028639522,0.34245075485182
"Urban",1990,1,0.244497586665752,0.161729951778308
"Urban",2000,1.04834414011398,0.182658035951507,0.108020001048042
"Urban",2009,0.184269703693505,0.220955015587495,0.155741545344617
"Urban",2013,0.168392786292483,0.241823428597139,0.15443146446116
"Urban",2017,0.175744698973629,0.220388308166964,0.16045559724976
