"msa_name","CBSA","year","s_lt_18","s_gt_59"
NA,12060,1970,0.608150347737751,0.0648546829843917
NA,12060,1980,1.51779458740037,0.252443855580185
NA,12060,1990,1,0.11432439587478
NA,12060,2000,1.13836568826552,0.0885039949712716
NA,12060,2009,0.271512278409789,0.123082550616175
NA,12060,2013,0.261338725485093,0.143900292535511
NA,12060,2017,0.251974657033252,0.163753839245464
NA,14460,1970,0.600285918140879,0.091077230531498
NA,14460,1980,1.52322420361627,0.34806840527753
NA,14460,1990,1,0.167774217777665
NA,14460,2000,1.16286909218342,0.129558542816631
NA,14460,2009,0.221853044373267,0.175326887810057
NA,14460,2013,0.212755398349101,0.190500877662035
NA,14460,2017,0.20360625121544,0.207226375207044
NA,16980,1970,0.605732335335001,0.077555342087373
NA,16980,1980,1.51512740949508,0.305423291789872
NA,16980,1990,1,0.154893452468542
NA,16980,2000,0.982723337939539,0.0988542347000321
NA,16980,2009,0.258538635712214,0.153070404243752
NA,16980,2013,0.247018256745302,0.169918447534292
NA,16980,2017,0.234932474653189,0.190700212551191
NA,19100,1970,0.607454304084546,0.067929375538342
NA,19100,1980,1.51228937247854,0.257711158137859
NA,19100,1990,1,0.114069998392546
NA,19100,2000,0.89296959359639,0.0701340352950657
NA,19100,2009,0.280191384934206,0.122448913715382
NA,19100,2013,0.274509100215897,0.13887609372075
NA,19100,2017,0.266013176313602,0.15463468842966
NA,26420,1970,0.613706875077059,0.0594200552506732
NA,26420,1980,1.49954789665973,0.210480319560728
NA,26420,1990,1,0.106141276253591
NA,26420,2000,0.815932810693984,0.0631755212237604
NA,26420,2009,0.286441878879844,0.121647386635987
NA,26420,2013,0.276537962972125,0.136200635272465
NA,26420,2017,0.269523046896661,0.15245257532615
NA,31080,1970,0.598929867367633,0.076240947902582
NA,31080,1980,1.51110591344807,0.29475372074508
NA,31080,1990,1,0.130893884183748
NA,31080,2000,0.70486155517088,0.0648332841786356
NA,31080,2009,0.259230397819298,0.145139140610271
NA,31080,2013,0.239803211246873,0.162516496395744
NA,31080,2017,0.225490210863928,0.180851647825463
NA,33100,1970,0.584225662289295,0.141792111323578
NA,33100,1980,1.52477801817232,0.544577863068731
NA,33100,1990,1,0.273147409681709
NA,33100,2000,0.789943515876445,0.108899493625037
NA,33100,2009,0.229831768912392,0.206213853361768
NA,33100,2013,0.213579144695616,0.216339498888191
NA,33100,2017,0.205664649431292,0.230142247487039
NA,35620,1970,0.593900148008186,0.0910858619817898
NA,35620,1980,1.52697958608264,0.36042800778127
NA,35620,1990,1,0.177338454748723
NA,35620,2000,0.955551178978678,0.10832092670499
NA,35620,2009,0.237152449784053,0.176470615271784
NA,35620,2013,0.226200139170092,0.187803293421677
NA,35620,2017,0.218404161401804,0.204331538137648
NA,37980,1970,0.601991548536142,0.0835466803788419
NA,37980,1980,1.52185184117904,0.350723725529524
NA,37980,1990,1,0.179022855069701
NA,37980,2000,1.20785681708058,0.141887235361927
NA,37980,2009,0.239926856746861,0.178438610136073
NA,37980,2013,0.229966262657344,0.192180539003192
NA,37980,2017,0.221365942346765,0.210188069065708
NA,47900,1970,0.605220893903793,0.0575704109180316
NA,47900,1980,1.51664688056666,0.256325715393002
NA,47900,1990,1,0.120921928922118
NA,47900,2000,1.10745333218635,0.0973069340304172
NA,47900,2009,0.247648434149749,0.142200297118096
NA,47900,2013,0.236617974660247,0.156363500615523
NA,47900,2017,0.231734742198773,0.173439902426786
