"area_type","year","s_lt_18","s_18_to_29","s_gt_59"
"Exurban",1970,0.387611717149344,0.191527770086937,0.101516141536076
"Exurban",1980,0.32503482656146,0.204556808422972,0.101684503802623
"Exurban",1990,0.280856192646557,0.19907859850208,0.100675530303598
"Exurban",2000,0.28767504777159,0.141832651144276,0.107351357389708
"Exurban",2009,0.280348950621745,0.14696360701731,0.122089478668068
"Exurban",2013,0.271663027676903,0.146753254042646,0.141201035007269
"Exurban",2017,0.261064785118666,0.14646437407548,0.159913078765823
"Suburban",1970,0.375468467913202,0.197233742974103,0.0703137201633138
"Suburban",1980,0.283543769018092,0.218482510040483,0.0971801083463017
"Suburban",1990,0.240204808834662,0.204477226349237,0.113482448537517
"Suburban",2000,0.256900481229077,0.150821601506456,0.125341493304639
"Suburban",2009,0.249926905004082,0.156909766304603,0.149225157688975
"Suburban",2013,0.238045139250026,0.160055523997728,0.165998618567203
"Suburban",2017,0.232742255711499,0.155045512080533,0.186101736802713
"Urban",1970,0.285889269025047,0.239802559583463,0.132151071484796
"Urban",1980,0.209304042167469,0.260013711361306,0.158954491924724
"Urban",1990,0.17926051074274,0.244497586665752,0.161729951778308
"Urban",2000,0.18746789990953,0.223293005692322,0.146452834641687
"Urban",2009,0.184269703693505,0.220955015587495,0.155741545344617
"Urban",2013,0.168392786292483,0.241823428597139,0.15443146446116
"Urban",2017,0.175744698973629,0.220388308166964,0.16045559724976
