"NAME","year","FIPS","hhts_type_name","hhts_share"
NA,1990,51177,"household w/ kids",0.470175993255348
NA,1980,51177,"household w/ kids",0.520062869822485
NA,1970,51177,"household w/ kids",NA
NA,2000,51179,"household w/ kids",0.475444650915848
NA,1990,51179,"household w/ kids",0.472663683587924
NA,1980,51179,"household w/ kids",0.543835280660185
NA,1970,51179,"household w/ kids",NA
NA,2000,51187,"household w/ kids",0.335835051546392
NA,1990,51187,"household w/ kids",0.334808853118712
NA,1980,51187,"household w/ kids",0.380114722753346
NA,1970,51187,"household w/ kids",NA
NA,2000,51510,"household w/ kids",0.195197521301317
NA,1990,51510,"household w/ kids",0.174895303198182
NA,1980,51510,"household w/ kids",0.205979121816483
NA,1970,51510,"household w/ kids",NA
NA,2000,51600,"household w/ kids",0.277299388493698
NA,1990,51600,"household w/ kids",0.280889732808897
NA,1980,51600,"household w/ kids",0.398031553046751
NA,1970,51600,"household w/ kids",NA
NA,2000,51610,"household w/ kids",0.304561717352415
NA,1990,51610,"household w/ kids",0.236450839328537
NA,1980,51610,"household w/ kids",0.237280187573271
NA,1970,51610,"household w/ kids",NA
NA,2000,51630,"household w/ kids",0.218402176601534
NA,1990,51630,"household w/ kids",0.249832641585219
NA,1980,51630,"household w/ kids",0.257055940510394
NA,1970,51630,"household w/ kids",NA
NA,2000,51683,"household w/ kids",0.437335596096733
NA,1990,51683,"household w/ kids",0.432387137320624
NA,1980,51683,"household w/ kids",0.509549123843276
NA,2000,51685,"household w/ kids",0.456501690747003
NA,1990,51685,"household w/ kids",0.456301747930083
NA,1980,51685,"household w/ kids",0.613440860215054
NA,2000,54037,"household w/ kids",0.320229927684035
NA,1990,54037,"household w/ kids",0.362043454559614
NA,1980,54037,"household w/ kids",0.399841017488076
NA,1970,54037,"household w/ kids",NA
NA,2009,24009,"w/o kids: fam. hh",0.346909262124168
NA,2009,24017,"w/o kids: fam. hh",0.339997141165179
NA,2009,24021,"w/o kids: fam. hh",0.331569751704112
NA,2009,24031,"w/o kids: fam. hh",0.327969566897899
NA,2009,24033,"w/o kids: fam. hh",0.292397386024562
NA,2009,11001,"w/o kids: fam. hh",0.219616868017693
NA,2009,51013,"w/o kids: fam. hh",0.234078602039799
NA,2009,51043,"w/o kids: fam. hh",0.397120466557317
NA,2009,51047,"w/o kids: fam. hh",0.350874020494274
NA,2009,51059,"w/o kids: fam. hh",0.33545876455237
NA,2009,51061,"w/o kids: fam. hh",0.37767011671438
NA,2009,51107,"w/o kids: fam. hh",0.281979171244013
NA,2009,51153,"w/o kids: fam. hh",0.306172580136881
NA,2009,51157,"w/o kids: fam. hh",0.427828348504551
NA,2009,51177,"w/o kids: fam. hh",0.330646350454657
NA,2009,51179,"w/o kids: fam. hh",0.338807893473482
NA,2009,51187,"w/o kids: fam. hh",0.338832673412524
NA,2009,51510,"w/o kids: fam. hh",0.253770283168947
NA,2009,51600,"w/o kids: fam. hh",0.36297877386458
NA,2009,51610,"w/o kids: fam. hh",0.299515738498789
NA,2009,51630,"w/o kids: fam. hh",0.235987869257554
NA,2009,51683,"w/o kids: fam. hh",0.290560852014086
NA,2009,51685,"w/o kids: fam. hh",0.321975699947174
NA,2009,54037,"w/o kids: fam. hh",0.350572058898979
NA,2013,24009,"w/o kids: fam. hh",0.375254664812599
NA,2013,24017,"w/o kids: fam. hh",0.354596366616582
NA,2013,24021,"w/o kids: fam. hh",0.357980935172637
NA,2013,24031,"w/o kids: fam. hh",0.334446407423945
NA,2013,24033,"w/o kids: fam. hh",0.302052128749905
NA,2013,11001,"w/o kids: fam. hh",0.21953809800151
NA,2013,51013,"w/o kids: fam. hh",0.256124674444703
NA,2013,51043,"w/o kids: fam. hh",0.42078853046595
NA,2013,51047,"w/o kids: fam. hh",0.367479269281127
NA,2013,51059,"w/o kids: fam. hh",0.343111708403008
NA,2013,51061,"w/o kids: fam. hh",0.400345871162992
NA,2013,51107,"w/o kids: fam. hh",0.291802573903941
NA,2013,51153,"w/o kids: fam. hh",0.312702919013606
NA,2013,51157,"w/o kids: fam. hh",0.405703771849126
NA,2013,51177,"w/o kids: fam. hh",0.370471600853533
NA,2013,51179,"w/o kids: fam. hh",0.366731471383186
NA,2013,51187,"w/o kids: fam. hh",0.379161743240425
NA,2013,51510,"w/o kids: fam. hh",0.260979975217611
NA,2013,51600,"w/o kids: fam. hh",0.378473857748469
NA,2013,51610,"w/o kids: fam. hh",0.258565737051793
NA,2013,51630,"w/o kids: fam. hh",0.233254934042336
NA,2013,51683,"w/o kids: fam. hh",0.331345261762757
NA,2013,51685,"w/o kids: fam. hh",0.315445321307779
NA,2013,54037,"w/o kids: fam. hh",0.379405701644125
NA,2017,24009,"w/o kids: fam. hh",0.392187400673829
NA,2017,24017,"w/o kids: fam. hh",0.345839092165563
NA,2017,24021,"w/o kids: fam. hh",0.369054231187932
NA,2017,24031,"w/o kids: fam. hh",0.343568716451541
NA,2017,24033,"w/o kids: fam. hh",0.326403516208338
NA,2017,11001,"w/o kids: fam. hh",0.223105563249816
NA,2017,51013,"w/o kids: fam. hh",0.244609520086013
NA,2017,51043,"w/o kids: fam. hh",0.39691091954023
NA,2017,51047,"w/o kids: fam. hh",0.365979687592802
NA,2017,51059,"w/o kids: fam. hh",0.350256749199248
NA,2017,51061,"w/o kids: fam. hh",0.393728368291564
NA,2017,51107,"w/o kids: fam. hh",0.302302574629634
NA,2017,51153,"w/o kids: fam. hh",0.321622902100412
NA,2017,51157,"w/o kids: fam. hh",0.455764931331843
NA,2017,51177,"w/o kids: fam. hh",0.382864668777005
NA,2017,51179,"w/o kids: fam. hh",0.375146102106076
NA,2017,51187,"w/o kids: fam. hh",0.381818181818182
