"NAME","year","CBSA","hhts_type_name","hhts_share"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017,47900,"household w/ kids",0.34291259952609
"Atlanta-Sandy Springs-Roswell, GA",1970,12060,"w/o kids: fam. hh",NA
"Atlanta-Sandy Springs-Roswell, GA",1980,12060,"w/o kids: fam. hh",0.335838167116688
"Atlanta-Sandy Springs-Roswell, GA",1990,12060,"w/o kids: fam. hh",0.351171841247869
"Atlanta-Sandy Springs-Roswell, GA",2000,12060,"w/o kids: fam. hh",0.335549377802899
"Atlanta-Sandy Springs-Roswell, GA",2009,12060,"w/o kids: fam. hh",0.300399343146587
"Atlanta-Sandy Springs-Roswell, GA",2013,12060,"w/o kids: fam. hh",0.310760797066721
"Atlanta-Sandy Springs-Roswell, GA",2017,12060,"w/o kids: fam. hh",0.319910105492978
"Boston-Cambridge-Newton, MA-NH",1970,14460,"w/o kids: fam. hh",NA
"Boston-Cambridge-Newton, MA-NH",1980,14460,"w/o kids: fam. hh",0.348213586724269
"Boston-Cambridge-Newton, MA-NH",1990,14460,"w/o kids: fam. hh",0.364892969941809
"Boston-Cambridge-Newton, MA-NH",2000,14460,"w/o kids: fam. hh",0.332366955964856
"Boston-Cambridge-Newton, MA-NH",2009,14460,"w/o kids: fam. hh",0.313334032225197
"Boston-Cambridge-Newton, MA-NH",2013,14460,"w/o kids: fam. hh",0.323894749912569
"Boston-Cambridge-Newton, MA-NH",2017,14460,"w/o kids: fam. hh",0.338683447367604
"Chicago-Naperville-Elgin, IL-IN-WI",1970,16980,"w/o kids: fam. hh",NA
"Chicago-Naperville-Elgin, IL-IN-WI",1980,16980,"w/o kids: fam. hh",0.343719159081953
"Chicago-Naperville-Elgin, IL-IN-WI",1990,16980,"w/o kids: fam. hh",0.360132118924701
"Chicago-Naperville-Elgin, IL-IN-WI",2000,16980,"w/o kids: fam. hh",0.338550624980759
"Chicago-Naperville-Elgin, IL-IN-WI",2009,16980,"w/o kids: fam. hh",0.308932786520845
"Chicago-Naperville-Elgin, IL-IN-WI",2013,16980,"w/o kids: fam. hh",0.319733752257461
"Chicago-Naperville-Elgin, IL-IN-WI",2017,16980,"w/o kids: fam. hh",0.330768125974843
