"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22192","Prince William","County",51,"153",3047,16353,0.19,0.77,2354,15887,336.402,49964696.8125645,49789839.612641,0.996500385050281,"0.91"
"22193","Prince William","County",51,"153",4263,18995,0.22,0.89,3785,21066,336.402,45924206.5924643,45924206.5924643,1,"0.91"
"22554","Prince William","County",51,"153",5189,11330,0.46,0.91,4746,15092,336.402,184402152.878895,210516.025434673,0.00114161370758469,"0.91"
"22554","Stafford","County",51,"179",5189,11330,0.46,0.91,4746,15092,268.956,184402152.878895,184011842.815485,0.997883375777799,"0.91"
"20132","Jefferson","County",54,"037",2186,3071,0.71,0.95,2071,4928,209.635,216575002.744151,3790.90473821759,1.75038886768292e-05,"1"
"20132","Loudoun","County",51,"107",2186,3071,0.71,0.95,2071,4928,515.561,216575002.744151,216569086.82411,0.999972684197317,"1"
"20135","Clarke","County",51,"043",150,1038,0.14,1,150,1180,176.177,117057876.965921,63317510.1761835,0.540907727163182,"1"
"20135","Loudoun","County",51,"107",150,1038,0.14,1,150,1180,515.561,117057876.965921,40150209.664679,0.342994514383411,"1"
"20135","Jefferson","County",54,"037",150,1038,0.14,1,150,1180,209.635,117057876.965921,13589791.9942648,0.116094639220403,"1"
"20141","Loudoun","County",51,"107",789,1172,0.67,1,789,1955,515.561,71254887.2575333,71254887.2575333,0.999999999999999,"1"
"20141","Jefferson","County",54,"037",789,1172,0.67,1,789,1955,209.635,71254887.2575333,7.96898744154489e-06,1.1183776647829e-13,"1"
"21758","Jefferson","County",54,"037",373,1275,0.29,1,373,1634,209.635,90602760.6458733,15.9567329883575,1.76117514241376e-07,"1"
"21758","Frederick","County",24,"021",373,1275,0.29,1,373,1634,660.221,90602760.6458733,42081814.343984,0.464465034442642,"1"
"21758","Loudoun","County",51,"107",373,1275,0.29,1,373,1634,515.561,90602760.6458733,0.176412296245383,1.94709625830168e-09,"1"
"21782","Jefferson","County",54,"037",248,1274,0.19,1,248,1480,209.635,83219714.4209501,6.76833879947662,8.13309544087156e-08,"1"
"22611","Clarke","County",51,"043",742,2553,0.29,0.94,695,2858,176.177,210681929.059386,210530356.670209,0.999280562932694,"1"
