"area_type","variable","value","group"
"Exurban","Owner occupied",466957,"Exurban-Owner occupied"
"Suburban","Owner occupied",704790,"Suburban-Owner occupied"
"Urban","Owner occupied",185913,"Urban-Owner occupied"
"Exurban","Renter occupied",162084,"Exurban-Renter occupied"
"Suburban","Renter occupied",376820,"Suburban-Renter occupied"
"Urban","Renter occupied",259403,"Urban-Renter occupied"
