"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20001","District of Columbia",NA,11,"001",6373,12365,0.52,0.01,53,5602,61.048,5795010.17681645,5795010.17681645,1,"0.46"
"20002","District of Columbia",NA,11,"001",4148,22053,0.19,0.06,229,12096,61.048,14223802.9300222,14223802.9300222,1,"0.46"
"20003","District of Columbia",NA,11,"001",3262,9132,0.36,0.12,377,5845,61.048,6467487.2306837,6467487.2306837,1,"0.46"
"20004","District of Columbia",NA,11,"001",508,655,0.78,0,0,0,61.048,894694.938347777,894694.938347777,1,"0"
"20005","District of Columbia",NA,11,"001",2033,6139,0.33,0.01,23,449,61.048,1132684.48341241,1132684.48341241,1,"0.46"
"20006","District of Columbia",NA,11,"001",33,583,0.06,0,0,8,61.048,918103.727879524,918103.727879524,1,"0"
"20007","District of Columbia",NA,11,"001",329,11556,0.03,0.35,114,5465,61.048,9147943.9090405,9147950.30093496,1.00000069872471,"0.46"
"20007","Arlington","County",51,"013",329,11556,0.03,0.35,114,5465,25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"0.46"
"20008","District of Columbia",NA,11,"001",577,15034,0.04,0.13,75,3405,61.048,7934014.35088521,7934014.35088521,1,"0.46"
"20009","District of Columbia",NA,11,"001",3332,23838,0.14,0.03,114,3715,61.048,3440816.01026237,3440816.01026237,1,"0.46"
"20010","District of Columbia",NA,11,"001",1270,11323,0.11,0.03,44,4199,61.048,2810689.6595735,2810689.6595735,1,"0.46"
"20011","Montgomery","County",24,"031",1213,23075,0.05,0.09,107,13612,491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"0.46"
"20011","District of Columbia",NA,11,"001",1213,23075,0.05,0.09,107,13612,61.048,12660480.7999454,12660466.3018587,0.999998854854972,"0.46"
"20011","Prince George's","County",24,"033",1213,23075,0.05,0.09,107,13612,482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"0.46"
"20012","Montgomery","County",24,"031",286,5659,0.05,0.05,13,3658,491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"0.46"
"20012","District of Columbia",NA,11,"001",286,5659,0.05,0.05,13,3658,61.048,5803079.64819336,5803097.15997553,1.00000301767048,"0.46"
"20015","District of Columbia",NA,11,"001",389,6048,0.06,0.12,48,4560,61.048,8925388.95455337,8924431.45925066,0.999892722288341,"0.46"
"20015","Montgomery","County",24,"031",389,6048,0.06,0.12,48,4560,491.254,8925388.95455337,11.4889633655548,1.28722271085941e-06,"0.46"
"20016","District of Columbia",NA,11,"001",646,13111,0.05,0.33,213,6788,61.048,11927452.3369294,11927441.3502834,0.999999078877388,"0.46"
"20016","Montgomery","County",24,"031",646,13111,0.05,0.33,213,6788,491.254,11927452.3369294,0.00125785984078428,1.05459221739225e-10,"0.46"
"20016","Arlington","County",51,"013",646,13111,0.05,0.33,213,6788,25.974,11927452.3369294,3.29461789131165,2.76221425853947e-07,"0.46"
"20017","Prince George's","County",24,"033",682,6947,0.1,0.5,341,4766,482.691,5705564.79410224,1.18287188403161,2.07318981856859e-07,"0.9"
"20017","District of Columbia",NA,11,"001",682,6947,0.1,0.5,341,4766,61.048,5705564.79410224,5705551.60867786,0.999997689023813,"0.9"
"20018","Prince George's","County",24,"033",1067,6815,0.16,0.46,490,4880,482.691,7834941.73360515,91.163010597229,1.16354420615814e-05,"0.46"
"20018","District of Columbia",NA,11,"001",1067,6815,0.16,0.46,490,4880,61.048,7834941.73360515,7834941.73360515,1,"0.46"
"20019","District of Columbia",NA,11,"001",2770,20695,0.13,0.42,1153,10906,61.048,16827648.5829098,16827435.0886675,0.999987312889187,"0.46"
"20019","Prince George's","County",24,"033",2770,20695,0.13,0.42,1153,10906,482.691,16827648.5829098,58.3081265687943,3.46501926763624e-06,"0.46"
"20020","Prince George's","County",24,"033",2505,18624,0.13,0.46,1143,7671,482.691,12317651.7462729,24.5028921206197,1.9892502747558e-06,"0.46"
"20020","District of Columbia",NA,11,"001",2505,18624,0.13,0.46,1143,7671,61.048,12317651.7462729,12317671.4594769,1.00000160040277,"0.46"
"20024","Arlington","County",51,"013",966,6343,0.15,0.17,167,1786,25.974,8788245.60274657,0.0120125599205494,1.36688941838347e-09,"0.46"
"20024","District of Columbia",NA,11,"001",966,6343,0.15,0.17,167,1786,61.048,8788245.60274657,8788252.55867532,1.00000079150368,"0.46"
"20032","District of Columbia",NA,11,"001",2051,12576,0.16,0.58,1199,4863,61.048,13737595.2373034,13737612.5314884,1.00000125889464,"0.9"
"20032","Prince George's","County",24,"033",2051,12576,0.16,0.58,1199,4863,482.691,13737595.2373034,5.41497349739075,3.94171862240256e-07,"0.9"
"20036","District of Columbia",NA,11,"001",264,3907,0.07,0,0,176,61.048,832414.929835184,832414.929835184,1,"0"
"20037","Arlington","County",51,"013",1276,5077,0.25,0.01,14,348,25.974,2564839.71776638,1.40812462131566e-05,5.49010767246674e-12,"0.46"
