"county_name_state_code","area_type","total_new_units","single_family_prop","group"
"Rappahannock County, VA","Exurban",441,100,"Exurban-Rappahannock County, VA"
"Clarke County, VA","Exurban",1200,96.08,"Exurban-Clarke County, VA"
"Manassas city, VA","Exurban",1229,68.84,"Exurban-Manassas city, VA"
"Manassas Park city, VA","Exurban",1358,38.44,"Exurban-Manassas Park city, VA"
"Fredericksburg city, VA","Exurban",2460,65.53,"Exurban-Fredericksburg city, VA"
"Warren County, VA","Exurban",2603,99.27,"Exurban-Warren County, VA"
"Culpeper County, VA","Exurban",4958,94.7,"Exurban-Culpeper County, VA"
"Jefferson County, WV","Exurban",5437,97.26,"Exurban-Jefferson County, WV"
"Fauquier County, VA","Exurban",5553,93.64,"Exurban-Fauquier County, VA"
"Calvert County, MD","Exurban",7246,92.49,"Exurban-Calvert County, MD"
"Spotsylvania County, VA","Exurban",13083,89.47,"Exurban-Spotsylvania County, VA"
"Stafford County, VA","Exurban",14353,93.17,"Exurban-Stafford County, VA"
"Charles County, MD","Exurban",14486,86.16,"Exurban-Charles County, MD"
"Frederick County, MD","Exurban",18662,84.84,"Exurban-Frederick County, MD"
"Prince William County, VA","Exurban",45877,87.39,"Exurban-Prince William County, VA"
"Loudoun County, VA","Exurban",52018,85.01,"Exurban-Loudoun County, VA"
"Falls Church city, VA","Suburban",875,31.66,"Suburban-Falls Church city, VA"
"Fairfax city, VA","Suburban",892,80.49,"Suburban-Fairfax city, VA"
"Prince George's County, MD","Suburban",39856,72.43,"Suburban-Prince George's County, MD"
"Montgomery County, MD","Suburban",49384,52.3,"Suburban-Montgomery County, MD"
"Fairfax County, VA","Suburban",52203,59.64,"Suburban-Fairfax County, VA"
"Alexandria city, VA","Urban",8717,24.52,"Urban-Alexandria city, VA"
"Arlington County, VA","Urban",18182,16.81,"Urban-Arlington County, VA"
"District of Columbia, DC","Urban",32015,17.28,"Urban-District of Columbia, DC"
