"area_type","variable","value","group"
"Exurban","owner occupied",466957,"Exurban-owner occupied"
"Suburban","owner occupied",704790,"Suburban-owner occupied"
"Urban","owner occupied",185913,"Urban-owner occupied"
"Exurban","renter occupied",162084,"Exurban-renter occupied"
"Suburban","renter occupied",376820,"Suburban-renter occupied"
"Urban","renter occupied",259403,"Urban-renter occupied"
