"Unit_Type","Units_Count","sum_units","unit_freq","group"
"2000 & After","More than 50 Units",82812,19.94,"2000 & After-More than 50 Units"
"2000 & After","20 to 49 Units",16494,3.97,"2000 & After-20 to 49 Units"
"2000 & After","5 to 19 Units",33633,8.1,"2000 & After-5 to 19 Units"
"2000 & After","2 to 4 Units",6242,1.5,"2000 & After-2 to 4 Units"
"2000 & After","1 Unit",276078,66.48,"2000 & After-1 Unit"
"Before 2000","More than 50 Units",177260,10.19,"Before 2000-More than 50 Units"
"Before 2000","20 to 49 Units",50700,2.91,"Before 2000-20 to 49 Units"
"Before 2000","5 to 19 Units",271049,15.58,"Before 2000-5 to 19 Units"
"Before 2000","2 to 4 Units",59883,3.44,"Before 2000-2 to 4 Units"
"Before 2000","1 Unit",1181327,67.88,"Before 2000-1 Unit"
