"ZCTA","B25024_1_total","B25024_2_1._detached","B25024_7_10_to_19","B25024_8_20_to_49","B25024_9_50_or_more","B25024_10_mobile_home","B25024_11_boat._rv._van._etc.","B11003_1_total","B11003_2_married.couple_family","B11003_3_with_own_children_of_the_householder_under_18_years","B11003_4_under_6_years_only","B11003_5_under_6_years_and_6_to_17_years","B11003_6_6_to_17_years_only","B11003_7_no_own_children_of_the_householder_under_18_years","B11003_8_other_family","B11003_9_male_householder._no_wife_present","B11003_10_with_own_children_of_the_householder_under_18_years","B11003_11_under_6_years_only","B11003_12_under_6_years_and_6_to_17_years","B11003_13_6_to_17_years_only","B11003_14_no_own_children_of_the_householder_under_18_years","B11003_15_female_householder._no_husband_present","B11003_16_with_own_children_of_the_householder_under_18_years","B11003_17_under_6_years_only","B11003_18_under_6_years_and_6_to_17_years","B11003_19_6_to_17_years_only","B11003_20_no_own_children_of_the_householder_under_18_years","B25075_1_total","B25075_2_less_than_.10.000","B25075_3_.10.000_to_.14.999","B25075_4_.15.000_to_.19.999","B25075_5_.20.000_to_.24.999","B25075_6_.25.000_to_.29.999","B25075_7_.30.000_to_.34.999","B25075_8_.35.000_to_.39.999","B25075_9_.40.000_to_.49.999","B25075_10_.50.000_to_.59.999","B25075_11_.60.000_to_.69.999","B25075_12_.70.000_to_.79.999","B25075_13_.80.000_to_.89.999","B25075_14_.90.000_to_.99.999","B25075_15_.100.000_to_.124.999","B25075_16_.125.000_to_.149.999","B25075_17_.150.000_to_.174.999","B25075_18_.175.000_to_.199.999","B25075_19_.200.000_to_.249.999","B25075_20_.250.000_to_.299.999","B25075_21_.300.000_to_.399.999","B25075_22_.400.000_to_.499.999","B25075_23_.500.000_to_.749.999","B25075_24_.750.000_to_.999.999","B25075_25_.1.000.000_to_.1.499.999","B25075_26_.1.500.000_to_.1.999.999","B25075_27_.2.000.000_or_more","B03002_1_total","B03002_2_not_hispanic_or_latino","B03002_3_white_alone","B03002_4_black_or_african_american_alone","B03002_5_american_indian_and_alaska_native_alone","B03002_6_asian_alone","B03002_7_native_hawaiian_and_other_pacific_islander_alone","B03002_8_some_other_race_alone","B03002_9_two_or_more_races","B03002_10_two_races_including_some_other_race","B03002_11_two_races_excluding_some_other_race._and_three_or_more_races","B03002_12_hispanic_or_latino","B03002_13_white_alone","B03002_14_black_or_african_american_alone","B03002_15_american_indian_and_alaska_native_alone","B03002_16_asian_alone","B03002_17_native_hawaiian_and_other_pacific_islander_alone","B03002_18_some_other_race_alone","B03002_19_two_or_more_races","B03002_20_two_races_including_some_other_race","B03002_21_two_races_excluding_some_other_race._and_three_or_more_races","B25056_1_total","B25056_2_with_cash_rent","B25056_3_less_than_.100","B25056_4_.100_to_.149","B25056_5_.150_to_.199","B25056_6_.200_to_.249","B25056_7_.250_to_.299","B25056_8_.300_to_.349","B25056_9_.350_to_.399","B25056_10_.400_to_.449","B25056_11_.450_to_.499","B25056_12_.500_to_.549","B25056_13_.550_to_.599","B25056_14_.600_to_.649","B25056_15_.650_to_.699","B25056_16_.700_to_.749","B25056_17_.750_to_.799","B25056_18_.800_to_.899","B25056_19_.900_to_.999","B25056_20_.1.000_to_.1.249","B25056_21_.1.250_to_.1.499","B25056_22_.1.500_to_.1.999","B25056_23_.2.000_to_.2.499","B25056_24_.2.500_to_.2.999","B25056_25_.3.000_to_.3.499","B25056_26_.3.500_or_more","B25056_27_no_cash_rent","STATE","COUNTY","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","B25024_3_1._attached","B25024_4_2","B25024_5_3_or_4","B25024_6_5_to_9","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20010",13692,208,1400,1572,4144,0,0,5542,3172,1426,764,232,430,1746,2370,868,273,104,30,139,595,1502,674,257,108,309,828,4137,50,2,0,27,0,0,8,18,24,14,0,9,0,0,22,7,39,123,200,627,674,1280,670,253,79,11,32421,22444,12122,8269,30,1246,0,61,716,34,682,9977,4193,611,32,39,0,4644,458,289,169,8625,8474,75,69,120,247,99,24,85,151,66,209,36,100,112,167,137,411,486,1549,1215,1537,568,524,307,180,151,11,"001",61.048,2810689.6595735,2810689.6595735,1,"District of Columbia",NA,1247,11515,34,3985,0.11,0.03,"Urban","0.46",4096,872,727,673,"8600000US20010","20010",2804363,16260
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,24,"031",491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"Montgomery","County",903,23461,91,13979,0.04,0.1,"Suburban","0.46",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,11,"001",61.048,12660480.7999454,12660466.3018587,0.999998854854972,"District of Columbia",NA,903,23461,91,13979,0.04,0.1,"Urban","0.46",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,24,"033",482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"Prince George's","County",903,23461,91,13979,0.04,0.1,"Suburban","0.46",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20012",6375,2889,549,989,617,0,0,3385,2317,913,239,259,415,1404,1068,347,152,50,48,54,195,721,318,56,19,243,403,3622,34,0,0,8,0,10,0,5,0,0,0,6,0,31,7,31,12,134,118,466,593,1146,643,323,55,0,14457,12584,3155,8693,47,282,0,14,393,4,389,1873,540,267,0,0,10,903,153,93,60,2276,2166,7,0,44,7,0,0,0,0,8,25,62,35,60,63,51,151,169,657,331,289,77,52,64,14,110,24,"031",491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"Montgomery","County",311,5587,38,3542,0.06,0.12,"Suburban","0.46",991,23,126,191,"8600000US20012","20012",5863171,67558
"20012",6375,2889,549,989,617,0,0,3385,2317,913,239,259,415,1404,1068,347,152,50,48,54,195,721,318,56,19,243,403,3622,34,0,0,8,0,10,0,5,0,0,0,6,0,31,7,31,12,134,118,466,593,1146,643,323,55,0,14457,12584,3155,8693,47,282,0,14,393,4,389,1873,540,267,0,0,10,903,153,93,60,2276,2166,7,0,44,7,0,0,0,0,8,25,62,35,60,63,51,151,169,657,331,289,77,52,64,14,110,11,"001",61.048,5803079.64819336,5803097.15997553,1.00000301767048,"District of Columbia",NA,311,5587,38,3542,0.06,0.12,"Urban","0.46",991,23,126,191,"8600000US20012","20012",5863171,67558
"20015",6812,3999,29,387,1465,0,0,3920,3506,1905,446,271,1188,1601,414,101,45,0,0,45,56,313,186,22,0,164,127,4504,38,29,0,0,12,0,0,0,0,0,10,0,12,0,29,0,0,12,70,64,27,556,1906,1238,401,100,16323,15105,12132,1606,116,750,0,29,472,0,472,1218,1052,0,8,0,0,118,40,0,40,1964,1881,0,0,0,14,73,0,43,47,0,0,0,0,0,25,9,53,55,146,247,569,220,110,36,234,83,11,"001",61.048,8925388.95455337,8924431.45925066,0.999892722288341,"District of Columbia",NA,386,6082,62,4666,0.06,0.16,"Urban","0.46",877,8,47,0,"8600000US20015","20015",8930808,12516
"20015",6812,3999,29,387,1465,0,0,3920,3506,1905,446,271,1188,1601,414,101,45,0,0,45,56,313,186,22,0,164,127,4504,38,29,0,0,12,0,0,0,0,0,10,0,12,0,29,0,0,12,70,64,27,556,1906,1238,401,100,16323,15105,12132,1606,116,750,0,29,472,0,472,1218,1052,0,8,0,0,118,40,0,40,1964,1881,0,0,0,14,73,0,43,47,0,0,0,0,0,25,9,53,55,146,247,569,220,110,36,234,83,24,"031",491.254,8925388.95455337,11.4889633655548,1.28722271085941e-06,"Montgomery","County",386,6082,62,4666,0.06,0.16,"Suburban","0.46",877,8,47,0,"8600000US20015","20015",8930808,12516
"20016",14942,5853,334,559,5587,0,0,7534,6579,3032,1043,408,1581,3547,955,271,192,72,0,120,79,684,421,0,0,421,263,9493,0,12,0,0,0,0,0,0,20,0,0,18,0,44,11,9,29,258,775,626,757,1191,2552,1959,560,672,35192,31623,25780,2117,27,2129,0,40,1530,51,1479,3569,2746,104,33,0,0,480,206,47,159,4576,4360,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,94,31,706,498,1061,1137,259,123,417,216,11,"001",61.048,11927452.3369294,11927441.3502834,0.999999078877388,"District of Columbia",NA,695,13374,288,6968,0.05,0.41,"Urban","0.46",1349,52,319,889,"8600000US20016","20016",11493912,405987
"20016",14942,5853,334,559,5587,0,0,7534,6579,3032,1043,408,1581,3547,955,271,192,72,0,120,79,684,421,0,0,421,263,9493,0,12,0,0,0,0,0,0,20,0,0,18,0,44,11,9,29,258,775,626,757,1191,2552,1959,560,672,35192,31623,25780,2117,27,2129,0,40,1530,51,1479,3569,2746,104,33,0,0,480,206,47,159,4576,4360,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,94,31,706,498,1061,1137,259,123,417,216,24,"031",491.254,11927452.3369294,0.00125785984078428,1.05459221739225e-10,"Montgomery","County",695,13374,288,6968,0.05,0.41,"Suburban","0.46",1349,52,319,889,"8600000US20016","20016",11493912,405987
"20016",14942,5853,334,559,5587,0,0,7534,6579,3032,1043,408,1581,3547,955,271,192,72,0,120,79,684,421,0,0,421,263,9493,0,12,0,0,0,0,0,0,20,0,0,18,0,44,11,9,29,258,775,626,757,1191,2552,1959,560,672,35192,31623,25780,2117,27,2129,0,40,1530,51,1479,3569,2746,104,33,0,0,480,206,47,159,4576,4360,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,94,31,706,498,1061,1137,259,123,417,216,51,"013",25.974,11927452.3369294,3.29461789131165,2.76221425853947e-07,"Arlington","County",695,13374,288,6968,0.05,0.41,"Urban","0.46",1349,52,319,889,"8600000US20016","20016",11493912,405987
"20017",8346,1925,811,366,936,10,0,4142,2330,945,469,231,245,1385,1812,260,135,36,18,81,125,1552,700,102,228,370,852,4351,85,0,0,14,0,6,0,16,14,0,6,25,0,49,7,68,16,210,392,1170,943,993,242,35,2,58,20371,18453,4211,13123,16,482,12,38,571,47,524,1918,337,199,325,0,0,977,80,75,5,3443,3329,73,69,106,122,67,52,36,30,0,12,0,28,45,95,17,245,245,552,346,859,288,26,12,4,114,24,"033",482.691,5705564.79410224,1.18287188403161,2.07318981856859e-07,"Prince George's","County",655,7129,344,4817,0.09,0.53,"Suburban","0.91",3236,102,754,206,"8600000US20017","20017",5724414,746
"20017",8346,1925,811,366,936,10,0,4142,2330,945,469,231,245,1385,1812,260,135,36,18,81,125,1552,700,102,228,370,852,4351,85,0,0,14,0,6,0,16,14,0,6,25,0,49,7,68,16,210,392,1170,943,993,242,35,2,58,20371,18453,4211,13123,16,482,12,38,571,47,524,1918,337,199,325,0,0,977,80,75,5,3443,3329,73,69,106,122,67,52,36,30,0,12,0,28,45,95,17,245,245,552,346,859,288,26,12,4,114,11,"001",61.048,5705564.79410224,5705551.60867786,0.999997689023813,"District of Columbia",NA,655,7129,344,4817,0.09,0.53,"Urban","0.91",3236,102,754,206,"8600000US20017","20017",5724414,746
"20018",8420,3308,404,349,1223,28,0,4020,2076,900,426,183,291,1176,1944,291,154,25,27,102,137,1653,765,125,121,519,888,4452,33,0,0,18,0,8,16,0,0,7,0,8,0,43,35,78,141,422,304,1027,853,1306,136,10,7,0,20363,19379,2370,16417,11,276,0,34,271,11,260,984,557,155,0,0,0,215,57,40,17,3409,3357,45,35,325,323,131,146,54,47,60,37,52,43,23,173,85,269,203,509,190,336,188,83,0,0,52,24,"033",482.691,7834941.73360515,91.163010597229,1.16354420615814e-05,"Prince George's","County",862,6991,323,4876,0.12,0.37,"Suburban","0.46",1859,112,728,409,"8600000US20018","20018",7813169,32774
"20018",8420,3308,404,349,1223,28,0,4020,2076,900,426,183,291,1176,1944,291,154,25,27,102,137,1653,765,125,121,519,888,4452,33,0,0,18,0,8,16,0,0,7,0,8,0,43,35,78,141,422,304,1027,853,1306,136,10,7,0,20363,19379,2370,16417,11,276,0,34,271,11,260,984,557,155,0,0,0,215,57,40,17,3409,3357,45,35,325,323,131,146,54,47,60,37,52,43,23,173,85,269,203,509,190,336,188,83,0,0,52,11,"001",61.048,7834941.73360515,7834941.73360515,1,"District of Columbia",NA,862,6991,323,4876,0.12,0.37,"Urban","0.46",1859,112,728,409,"8600000US20018","20018",7813169,32774
"20019",26551,3815,5790,376,1192,9,9,12890,3277,1012,309,203,500,2265,9613,1409,553,123,123,307,856,8204,4382,792,1027,2563,3822,7584,136,17,60,38,16,38,9,38,47,13,86,62,60,276,290,941,783,1476,1311,1180,310,309,49,6,0,33,57962,56032,421,54940,115,82,12,60,402,4,398,1930,298,305,0,31,0,1133,163,59,104,15606,14796,815,410,329,342,469,406,330,348,192,352,492,609,562,708,663,2251,2474,1889,575,401,109,34,36,0,810,11,"001",61.048,16827648.5829098,16827435.0886675,0.999987312889187,"District of Columbia",NA,2489,20683,956,10373,0.12,0.38,"Urban","0.46",8056,688,3009,3607,"8600000US20019","20019",16230019,537698
"20019",26551,3815,5790,376,1192,9,9,12890,3277,1012,309,203,500,2265,9613,1409,553,123,123,307,856,8204,4382,792,1027,2563,3822,7584,136,17,60,38,16,38,9,38,47,13,86,62,60,276,290,941,783,1476,1311,1180,310,309,49,6,0,33,57962,56032,421,54940,115,82,12,60,402,4,398,1930,298,305,0,31,0,1133,163,59,104,15606,14796,815,410,329,342,469,406,330,348,192,352,492,609,562,708,663,2251,2474,1889,575,401,109,34,36,0,810,24,"033",482.691,16827648.5829098,58.3081265687943,3.46501926763624e-06,"Prince George's","County",2489,20683,956,10373,0.12,0.38,"Suburban","0.46",8056,688,3009,3607,"8600000US20019","20019",16230019,537698
"20020",24829,3180,6998,1089,1519,7,0,12019,2834,936,181,151,604,1898,9185,1416,528,177,31,320,888,7769,4351,815,1384,2152,3418,5980,165,0,10,9,15,7,9,24,76,9,89,82,39,181,151,287,318,1135,1033,1294,430,389,139,57,4,28,54955,53400,1274,50978,164,308,31,157,488,23,465,1555,70,392,8,4,0,973,108,38,70,15330,14205,561,203,397,417,383,218,367,168,225,371,247,299,279,350,664,1592,1782,3323,1518,676,116,34,0,15,1125,24,"033",482.691,12317651.7462729,24.5028921206197,1.9892502747558e-06,"Prince George's","County",2122,19181,988,7618,0.11,0.47,"Suburban","0.91",5603,287,2757,3389,"8600000US20020","20020",11944740,342579
"20020",24829,3180,6998,1089,1519,7,0,12019,2834,936,181,151,604,1898,9185,1416,528,177,31,320,888,7769,4351,815,1384,2152,3418,5980,165,0,10,9,15,7,9,24,76,9,89,82,39,181,151,287,318,1135,1033,1294,430,389,139,57,4,28,54955,53400,1274,50978,164,308,31,157,488,23,465,1555,70,392,8,4,0,973,108,38,70,15330,14205,561,203,397,417,383,218,367,168,225,371,247,299,279,350,664,1592,1782,3323,1518,676,116,34,0,15,1125,11,"001",61.048,12317651.7462729,12317671.4594769,1.00000160040277,"District of Columbia",NA,2122,19181,988,7618,0.11,0.47,"Urban","0.91",5603,287,2757,3389,"8600000US20020","20020",11944740,342579
"20024",7824,79,107,244,4893,0,0,2153,1394,287,164,20,103,1107,759,83,21,0,0,21,62,676,325,62,94,169,351,2869,49,0,0,7,0,0,0,0,0,0,0,0,25,34,93,83,135,283,294,811,323,493,151,59,29,0,12183,11516,5249,5270,102,615,0,11,269,18,251,667,333,74,16,14,22,59,149,0,149,4290,4251,119,34,71,194,114,68,16,72,4,19,4,45,17,38,5,175,99,662,496,1071,387,333,133,75,39,51,"013",25.974,8788245.60274657,0.0120125599205494,1.36688941838347e-09,"Arlington","County",762,6397,171,1740,0.12,0.22,"Urban","0.46",1736,237,135,393,"8600000US20024","20024",6767066,2007554
"20024",7824,79,107,244,4893,0,0,2153,1394,287,164,20,103,1107,759,83,21,0,0,21,62,676,325,62,94,169,351,2869,49,0,0,7,0,0,0,0,0,0,0,0,25,34,93,83,135,283,294,811,323,493,151,59,29,0,12183,11516,5249,5270,102,615,0,11,269,18,251,667,333,74,16,14,22,59,149,0,149,4290,4251,119,34,71,194,114,68,16,72,4,19,4,45,17,38,5,175,99,662,496,1071,387,333,133,75,39,11,"001",61.048,8788245.60274657,8788252.55867532,1.00000079150368,"District of Columbia",NA,762,6397,171,1740,0.12,0.22,"Urban","0.46",1736,237,135,393,"8600000US20024","20024",6767066,2007554
