"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20194",51,"059","Fairfax","County",349,5252,129,4040,0.07,0.37,"Suburban","0.83",390.969,8265515.25278205,8265515.25278205,1,"8600000US20194","20194",8163766,143174
"20202",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,18598.0933334832,18598.0933334832,1,"8600000US20202","20202",18721,0
"20204",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,14607.1875597693,14607.1875597693,1,"8600000US20204","20204",14638,0
"20228",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,87302.321443826,87302.321443826,1,"8600000US20228","20228",83613,0
"20230",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,55282.0595757202,55282.0595757202,1,"8600000US20230","20230",55495,0
"20240",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,30669.7362024955,30669.7362024955,1,"8600000US20240","20240",31673,0
"20245",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,59610.97548872,59610.97548872,1,"8600000US20245","20245",64474,0
"20260",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,46319.3049782668,46319.3049782668,1,"8600000US20260","20260",46126,0
"20307",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,338268.771059513,338268.771059513,1,"8600000US20307","20307",342486,61
"20317",11,"001","District of Columbia",NA,0,313,0,33,0,-1,"Urban","-1",61.048,1188913.7411816,1188913.7411816,1,"8600000US20317","20317",1184849,5298
"20319",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,637665.110141158,637665.110141158,1,"8600000US20319","20319",359976,276997
"20373",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,929410.079739928,929410.079739928,1,"8600000US20373","20373",935789,1808
"20390",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,11324.4290093184,11324.4290093184,1,"8600000US20390","20390",10935,0
"20405",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,32990.2234453987,32990.2234453987,1,"8600000US20405","20405",33011,0
"20418",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,29342.6695806608,29342.6695806608,1,"8600000US20418","20418",29418,0
"20427",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,16250.5427719788,16250.5427719788,1,"8600000US20427","20427",16368,0
"20506",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,43955.8428889662,43955.8428889662,1,"8600000US20506","20506",47757,0
"20510",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,30596.5678117871,30596.5678117871,1,"8600000US20510","20510",30810,0
