"year","statefips","countyfips","tract","blkgrp","bg_med_inc","cpi.ann","o2018","v2018","bg_med_inc_real","st.cnty"
1990,"11","001","0001","1",55805,130.658333333333,-9,251.104166666667,107248.17670132,"11001"
1990,"11","001","0001","2",45093,130.658333333333,-9,251.104166666667,86661.446680273,"11001"
1990,"11","001","0001","3",83289,130.658333333333,-9,251.104166666667,160067.97579565,"11001"
1990,"11","001","0001","4",56566,130.658333333333,-9,251.104166666667,108710.695516296,"11001"
1990,"11","001","0001","5",83630,130.658333333333,-9,251.104166666667,160723.322597104,"11001"
1990,"11","001","000201","1",41974,130.658333333333,-9,251.104166666667,80667.2335608138,"11001"
1990,"11","001","000202","1",57952,130.658333333333,-9,251.104166666667,111374.363160916,"11001"
1990,"11","001","000202","2",65833,130.658333333333,-9,251.104166666667,126520.369443204,"11001"
1990,"11","001","000202","3",53483,130.658333333333,-9,251.104166666667,102785.668569424,"11001"
1990,"11","001","000202","4",64852,130.658333333333,-9,251.104166666667,124635.046240194,"11001"
1990,"11","001","000202","5",79266,130.658333333333,-9,251.104166666667,152336.421008993,"11001"
1990,"11","001","000202","6",48571,130.658333333333,-9,251.104166666667,93345.5996874801,"11001"
1990,"11","001","000310","1",40313,130.658333333333,-9,251.104166666667,77475.0604311499,"11001"
1990,"11","001","000310","2",42292,130.658333333333,-9,251.104166666667,81278.3780853371,"11001"
1990,"11","001","000310","3",59247,130.658333333333,-9,251.104166666667,113863.14353594,"11001"
1990,"11","001","000310","4",58574,130.658333333333,-9,251.104166666667,112569.746476178,"11001"
1990,"11","001","000310","5",30455,130.658333333333,-9,251.104166666667,58529.5801709293,"11001"
1990,"11","001","0004","1",150001,130.658333333333,-9,251.104166666667,288277.640952867,"11001"
1990,"11","001","0004","2",80371,130.658333333333,-9,251.104166666667,154460.052139805,"11001"
1990,"11","001","000501","1",42500,130.658333333333,-9,251.104166666667,81678.1204158428,"11001"
1990,"11","001","000501","2",61359,130.658333333333,-9,251.104166666667,117922.065661075,"11001"
1990,"11","001","000501","3",34792,130.658333333333,-9,251.104166666667,66864.5921296001,"11001"
1990,"11","001","000502","3",48802,130.658333333333,-9,251.104166666667,93789.5442949168,"11001"
1990,"11","001","000502","4",46163,130.658333333333,-9,251.104166666667,88717.8134766248,"11001"
1990,"11","001","000502","5",115076,130.658333333333,-9,251.104166666667,221157.444352318,"11001"
1990,"11","001","0006","1",40190,130.658333333333,-9,251.104166666667,77238.6743414759,"11001"
1990,"11","001","0006","2",57668,130.658333333333,-9,251.104166666667,110828.561132725,"11001"
1990,"11","001","0006","3",34531,130.658333333333,-9,251.104166666667,66362.9923783405,"11001"
1990,"11","001","0006","4",62087,130.658333333333,-9,251.104166666667,119321.163817846,"11001"
1990,"11","001","0006","5",116226,130.658333333333,-9,251.104166666667,223367.558198865,"11001"
1990,"11","001","000701","1",28468,130.658333333333,-9,251.104166666667,54710.8878117227,"11001"
1990,"11","001","000701","2",42416,130.658333333333,-9,251.104166666667,81516.6860131386,"11001"
1990,"11","001","000720","3",28611,130.658333333333,-9,251.104166666667,54985.7106639454,"11001"
1990,"11","001","000720","5",31471,130.658333333333,-9,251.104166666667,60482.1677083998,"11001"
1990,"11","001","000801","1",51508,130.658333333333,-9,251.104166666667,98990.0382677467,"11001"
1990,"11","001","000801","2",150001,130.658333333333,-9,251.104166666667,288277.640952867,"11001"
1990,"11","001","000801","4",45100,130.658333333333,-9,251.104166666667,86674.899547165,"11001"
1990,"11","001","000801","5",117210,130.658333333333,-9,251.104166666667,225258.646916257,"11001"
1990,"11","001","000801","6",150001,130.658333333333,-9,251.104166666667,288277.640952867,"11001"
1990,"11","001","000802","2",77217,130.658333333333,-9,251.104166666667,148398.574685886,"11001"
1990,"11","001","000802","3",52432,130.658333333333,-9,251.104166666667,100765.816697493,"11001"
1990,"11","001","000901","1",65298,130.658333333333,-9,251.104166666667,125492.186045028,"11001"
1990,"11","001","000901","2",120820,130.658333333333,-9,251.104166666667,232196.482556285,"11001"
1990,"11","001","000901","6",101163,130.658333333333,-9,251.104166666667,194418.910485363,"11001"
1990,"11","001","000901","7",144202,130.658333333333,-9,251.104166666667,277132.901651891,"11001"
1990,"11","001","000902","3",89573,130.658333333333,-9,251.104166666667,172144.80658843,"11001"
1990,"11","001","000902","4",52942,130.658333333333,-9,251.104166666667,101745.954142484,"11001"
1990,"11","001","000902","5",81227,130.658333333333,-9,251.104166666667,156105.145576886,"11001"
1990,"11","001","001001","1",61048,130.658333333333,-9,251.104166666667,117324.374003444,"11001"
1990,"11","001","001001","2",63058,130.658333333333,-9,251.104166666667,121187.268639582,"11001"
1990,"11","001","001001","3",28295,130.658333333333,-9,251.104166666667,54378.409815677,"11001"
1990,"11","001","001001","4",84664,130.658333333333,-9,251.104166666667,162710.503220869,"11001"
1990,"11","001","001001","5",77896,130.658333333333,-9,251.104166666667,149703.502774412,"11001"
1990,"11","001","001001","6",77317,130.658333333333,-9,251.104166666667,148590.758498629,"11001"
1990,"11","001","001001","7",72162,130.658333333333,-9,251.104166666667,138683.682951719,"11001"
1990,"11","001","001001","8",74582,130.658333333333,-9,251.104166666667,143334.531220103,"11001"
1990,"11","001","001002","1",35708,130.658333333333,-9,251.104166666667,68624.9958543274,"11001"
1990,"11","001","001002","2",44432,130.658333333333,-9,251.104166666667,85391.1116780407,"11001"
1990,"11","001","0011","1",104721,130.658333333333,-9,251.104166666667,201256.810542764,"11001"
1990,"11","001","0011","2",51064,130.658333333333,-9,251.104166666667,98136.742139167,"11001"
