"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Clarke County","043","$75,000 to $99,999",684,12.28
51,"Clarke County","043","$150,000 to $199,999",499,8.96
51,"Clarke County","043","$200,000 or more",525,9.43
51,"Clarke County","043","less than $40,000",1444,25.93
51,"Clarke County","043","$40,000 to $74,999",1412,25.36
51,"Clarke County","043","$100,000 to $149,999",1004,18.03
