"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Manassas city","683","2000 to 2009",1153,8.57
51,"Manassas city","683","1990 to 1999",2371,17.63
51,"Manassas city","683","1980 to 1989",4521,33.61
51,"Manassas city","683","1970 to 1979",2576,19.15
51,"Manassas city","683","2010 to 2017",425,3.16
51,"Manassas city","683","before 1949",738,5.49
51,"Manassas city","683","1950 to 1969",1667,12.39
