"STATE_FIPS","value","county_code","variable","value","value_prop"
54,"Jefferson County","037","$75,000 to $99,999",2734,13.14
54,"Jefferson County","037","$150,000 to $199,999",1538,7.39
54,"Jefferson County","037","$200,000 or more",1416,6.81
54,"Jefferson County","037","less than $40,000",5516,26.51
54,"Jefferson County","037","$40,000 to $74,999",5178,24.88
54,"Jefferson County","037","$100,000 to $149,999",4426,21.27
