"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Fauquier County","061","$300,000 to $399,999",4924,26.19
51,"Fauquier County","061","$400,000 to $499,999",3193,16.98
51,"Fauquier County","061","$500,000 to $749,999",3192,16.98
51,"Fauquier County","061","less than $200,000",2017,10.73
51,"Fauquier County","061","$200,000 to $299,999",3936,20.93
51,"Fauquier County","061","$750,000 or more",1541,8.2
