"variable","value_metro","value_prop"
"less than $200,000",170347,12.37
"$200,000 to $299,999",255810,18.58
"$300,000 to $399,999",267923,19.46
"$400,000 to $499,999",205739,14.94
"$500,000 to $749,999",279622,20.31
"$750,000 or more",197243,14.33
